,breed,type.x,contact_state
168,Labrador Retriever,Dog,AZ
169,Shar-Pei,Dog,AZ
170,German Shepherd Dog,Dog,NV
171,Labrador Retriever,Dog,NV
172,Dachshund,Dog,NV
173,Terrier,Dog,NV
174,Chihuahua,Dog,NV
175,Beagle,Dog,NV
176,Pit Bull Terrier,Dog,NV
177,Cane Corso,Dog,NV
178,Shepherd,Dog,AZ
179,Boxer,Dog,AZ
180,Saint Bernard,Dog,AZ
181,Dogo Argentino,Dog,AZ
182,Pit Bull Terrier,Dog,AZ
183,German Shepherd Dog,Dog,NV
184,German Shepherd Dog,Dog,NV
185,German Shepherd Dog,Dog,NV
186,German Shepherd Dog,Dog,NV
187,German Shepherd Dog,Dog,NV
188,Pit Bull Terrier,Dog,NV
189,Pit Bull Terrier,Dog,NV
190,Catahoula Leopard Dog,Dog,NV
191,Pit Bull Terrier,Dog,NV
192,Pit Bull Terrier,Dog,NV
193,Catahoula Leopard Dog,Dog,NV
194,Chihuahua,Dog,NV
195,Chihuahua,Dog,NV
196,Pit Bull Terrier,Dog,NV
197,Doberman Pinscher,Dog,NV
198,Doberman Pinscher,Dog,NV
199,Doberman Pinscher,Dog,NV
200,Chihuahua,Dog,NV
201,Chihuahua,Dog,NV
202,Chihuahua,Dog,NV
203,Terrier,Dog,NV
204,Terrier,Dog,NV
205,Chihuahua,Dog,NV
206,Chihuahua,Dog,NV
207,Chihuahua,Dog,NV
208,Maltese,Dog,NV
209,Chihuahua,Dog,NV
210,Chihuahua,Dog,NV
211,Chihuahua,Dog,NV
212,Chihuahua,Dog,NV
213,Jack Russell Terrier,Dog,NV
214,Chihuahua,Dog,NV
215,Yorkshire Terrier,Dog,NV
216,Pomeranian,Dog,NV
217,Shepherd,Dog,NV
218,Collie,Dog,NV
219,Collie,Dog,NV
220,Collie,Dog,NV
221,Collie,Dog,NV
222,Collie,Dog,NV
223,Collie,Dog,NV
224,Collie,Dog,NV
225,Collie,Dog,NV
226,Collie,Dog,NV
227,Collie,Dog,NV
228,Chihuahua,Dog,NV
229,Pit Bull Terrier,Dog,NV
230,Pit Bull Terrier,Dog,NV
231,Shepherd,Dog,NV
232,Shar-Pei,Dog,NV
233,Pit Bull Terrier,Dog,AZ
234,Rat Terrier,Dog,AZ
235,Pit Bull Terrier,Dog,NV
236,Australian Shepherd,Dog,NV
237,Jack Russell Terrier,Dog,NV
238,Irish Terrier,Dog,NV
239,Yorkshire Terrier,Dog,NV
240,Cairn Terrier,Dog,NV
241,Australian Cattle Dog / Blue Heeler,Dog,NV
242,Pit Bull Terrier,Dog,NV
243,American Staffordshire Terrier,Dog,NV
244,Pit Bull Terrier,Dog,NV
245,Shih Tzu,Dog,NV
246,Shih Tzu,Dog,NV
247,Pit Bull Terrier,Dog,NV
248,Pit Bull Terrier,Dog,AZ
249,Pit Bull Terrier,Dog,NV
250,Pit Bull Terrier,Dog,NV
251,German Shepherd Dog,Dog,NV
252,Pomeranian,Dog,NV
253,Terrier,Dog,NV
254,American Staffordshire Terrier,Dog,NV
255,Pit Bull Terrier,Dog,NV
256,Pit Bull Terrier,Dog,NV
257,Pomeranian,Dog,NV
258,Lhasa Apso,Dog,NV
259,Chihuahua,Dog,AZ
260,Pit Bull Terrier,Dog,NV
261,American Bulldog,Dog,NV
262,Mastiff,Dog,NV
263,American Bulldog,Dog,NV
264,American Bulldog,Dog,NV
265,Labrador Retriever,Dog,NV
266,Pit Bull Terrier,Dog,NV
267,Pit Bull Terrier,Dog,NV
268,German Shepherd Dog,Dog,NV
269,Pit Bull Terrier,Dog,NV
270,Beagle,Dog,NV
271,German Shepherd Dog,Dog,NV
272,Chihuahua,Dog,NV
273,Pit Bull Terrier,Dog,NV
274,Cattle Dog,Dog,NV
275,Chihuahua,Dog,NV
276,Australian Shepherd,Dog,NV
277,Boxer,Dog,NV
278,Mixed Breed,Dog,NV
279,Shar-Pei,Dog,NV
280,Mastiff,Dog,NV
281,Husky,Dog,NV
282,Cattle Dog,Dog,NV
283,Chihuahua,Dog,NV
284,Chihuahua,Dog,NV
285,Australian Shepherd,Dog,NV
286,Chihuahua,Dog,NV
287,Labrador Retriever,Dog,NV
288,Boxer,Dog,NV
289,Brittany Spaniel,Dog,NV
290,Pit Bull Terrier,Dog,NV
291,Pit Bull Terrier,Dog,NV
292,Pit Bull Terrier,Dog,NV
293,Retriever,Dog,NV
294,Shepherd,Dog,NV
295,Saint Bernard,Dog,NV
296,Labrador Retriever,Dog,NV
297,English Bulldog,Dog,NV
298,Akita,Dog,NV
299,Pit Bull Terrier,Dog,NV
300,Coonhound,Dog,NV
301,Chihuahua,Dog,NV
302,Cocker Spaniel,Dog,NV
303,Chihuahua,Dog,NV
304,Saint Bernard,Dog,NV
305,Labrador Retriever,Dog,NV
306,Pit Bull Terrier,Dog,NV
307,Terrier,Dog,NV
308,Pit Bull Terrier,Dog,NV
309,Terrier,Dog,NV
310,Rat Terrier,Dog,NV
311,Great Dane,Dog,NV
312,Australian Shepherd,Dog,NV
313,Terrier,Dog,NV
314,Pit Bull Terrier,Dog,NV
315,Labrador Retriever,Dog,AZ
316,Labrador Retriever,Dog,AZ
317,Labrador Retriever,Dog,AZ
318,Border Collie,Dog,NV
319,Chihuahua,Dog,NV
320,German Shepherd Dog,Dog,NV
321,Chihuahua,Dog,NV
322,Cairn Terrier,Dog,NV
323,Siberian Husky,Dog,NV
324,German Shepherd Dog,Dog,NV
325,Jack Russell Terrier,Dog,NV
326,Miniature Pinscher,Dog,NV
327,Miniature Pinscher,Dog,NV
328,Pit Bull Terrier,Dog,NV
329,Chihuahua,Dog,NV
330,German Shepherd Dog,Dog,NV
331,Pit Bull Terrier,Dog,NV
332,Chihuahua,Dog,NV
333,Italian Greyhound,Dog,NV
334,Pit Bull Terrier,Dog,NV
335,Terrier,Dog,NV
336,Pit Bull Terrier,Dog,NV
337,Pit Bull Terrier,Dog,NV
338,German Shepherd Dog,Dog,NV
339,Pointer,Dog,NV
340,Mixed Breed,Dog,NV
341,Shar-Pei,Dog,NV
342,Shepherd,Dog,NV
343,Chihuahua,Dog,NV
344,Dachshund,Dog,NV
345,Pointer,Dog,NV
346,Mixed Breed,Dog,NV
347,Poodle,Dog,NV
348,Yorkshire Terrier,Dog,NV
349,Pit Bull Terrier,Dog,NV
350,Pit Bull Terrier,Dog,NV
351,Chihuahua,Dog,NV
352,Husky,Dog,NV
353,American Staffordshire Terrier,Dog,NV
354,American Staffordshire Terrier,Dog,NV
355,American Staffordshire Terrier,Dog,NV
356,Pit Bull Terrier,Dog,NV
357,Pit Bull Terrier,Dog,NV
358,Pit Bull Terrier,Dog,NV
359,Pit Bull Terrier,Dog,NV
360,Beagle,Dog,NV
361,German Shepherd Dog,Dog,NV
362,Labrador Retriever,Dog,NV
363,Beagle,Dog,NV
364,Pit Bull Terrier,Dog,NV
365,Boxer,Dog,NV
366,Pit Bull Terrier,Dog,NV
367,Mixed Breed,Dog,AZ
368,American Bulldog,Dog,NV
369,Chihuahua,Dog,NV
370,Labrador Retriever,Dog,AZ
371,Boxer,Dog,NV
372,English Bulldog,Dog,NV
373,Husky,Dog,NV
374,Cairn Terrier,Dog,NV
375,German Shepherd Dog,Dog,NV
376,Chihuahua,Dog,NV
377,Pug,Dog,NV
378,Chihuahua,Dog,NV
379,Terrier,Dog,NV
380,Chihuahua,Dog,NV
381,Retriever,Dog,NV
382,Staffordshire Bull Terrier,Dog,NV
383,Terrier,Dog,NV
384,Rat Terrier,Dog,NV
385,Dachshund,Dog,NV
386,Chihuahua,Dog,NV
387,Chihuahua,Dog,NV
388,Chihuahua,Dog,NV
389,Treeing Walker Coonhound,Dog,NV
390,Dachshund,Dog,NV
391,Xoloitzcuintli / Mexican Hairless,Dog,NV
392,Chihuahua,Dog,NV
393,Miniature Pinscher,Dog,NV
394,Pit Bull Terrier,Dog,NV
395,Pit Bull Terrier,Dog,NV
396,Pit Bull Terrier,Dog,NV
397,Pit Bull Terrier,Dog,NV
398,Pit Bull Terrier,Dog,NV
399,Pit Bull Terrier,Dog,NV
400,Pit Bull Terrier,Dog,NV
401,Saint Bernard,Dog,NV
402,Chihuahua,Dog,NV
403,Labrador Retriever,Dog,NV
404,Chihuahua,Dog,NV
405,Beagle,Dog,NV
406,Australian Shepherd,Dog,NV
407,Rottweiler,Dog,AZ
408,Rottweiler,Dog,AZ
409,Hound,Dog,AZ
410,Dachshund,Dog,AZ
411,English Springer Spaniel,Dog,NV
412,Cattle Dog,Dog,NV
413,Beagle,Dog,NV
414,Chihuahua,Dog,NV
415,Japanese Chin,Dog,NV
416,Beagle,Dog,NV
417,Whippet,Dog,AZ
418,Miniature Pinscher,Dog,NV
419,Beagle,Dog,NV
420,Pit Bull Terrier,Dog,NV
421,Chihuahua,Dog,NV
422,Chihuahua,Dog,NV
423,Labrador Retriever,Dog,NV
424,Saint Bernard,Dog,NV
425,Pit Bull Terrier,Dog,NV
426,Shepherd,Dog,NV
427,American Bulldog,Dog,AZ
428,Beagle,Dog,NV
429,Chihuahua,Dog,NV
430,Dogo Argentino,Dog,NV
431,German Shepherd Dog,Dog,NV
432,Yorkshire Terrier,Dog,NV
433,Beagle,Dog,NV
434,Terrier,Dog,NV
435,Pit Bull Terrier,Dog,NV
436,Pit Bull Terrier,Dog,NV
437,German Shepherd Dog,Dog,NV
438,Doberman Pinscher,Dog,NV
439,Terrier,Dog,NV
440,Pit Bull Terrier,Dog,NV
441,Mixed Breed,Dog,NV
442,Catahoula Leopard Dog,Dog,AZ
443,Hound,Dog,AZ
444,Pit Bull Terrier,Dog,NV
445,Foxhound,Dog,NV
446,English Springer Spaniel,Dog,NV
447,Boxer,Dog,NV
448,Chihuahua,Dog,NV
449,Mixed Breed,Dog,NV
450,Pit Bull Terrier,Dog,NV
451,Chihuahua,Dog,NV
452,Staffordshire Bull Terrier,Dog,NV
453,Labrador Retriever,Dog,NV
454,Pit Bull Terrier,Dog,AZ
455,Pit Bull Terrier,Dog,NV
456,Chihuahua,Dog,NV
457,Border Collie,Dog,NV
458,Rottweiler,Dog,NV
459,Chihuahua,Dog,NV
460,Chihuahua,Dog,NV
461,Mastiff,Dog,NV
462,Labrador Retriever,Dog,NV
463,Boxer,Dog,NV
464,German Shepherd Dog,Dog,NV
465,German Shepherd Dog,Dog,NV
466,Chihuahua,Dog,NV
467,Shepherd,Dog,NV
468,Labrador Retriever,Dog,NV
469,Chihuahua,Dog,NV
470,Pit Bull Terrier,Dog,NV
471,Labrador Retriever,Dog,AZ
472,Labrador Retriever,Dog,AZ
473,Chihuahua,Dog,NV
474,Pit Bull Terrier,Dog,NV
475,Chihuahua,Dog,NV
476,Chihuahua,Dog,NV
477,Chihuahua,Dog,NV
478,Labrador Retriever,Dog,NV
479,Chow Chow,Dog,AZ
480,American Bulldog,Dog,AZ
481,American Bulldog,Dog,AZ
482,Hound,Dog,AZ
483,Shepherd,Dog,AZ
484,Labrador Retriever,Dog,AZ
485,Hound,Dog,AZ
486,Labrador Retriever,Dog,AZ
487,Pit Bull Terrier,Dog,NV
488,Boxer,Dog,NV
489,Doberman Pinscher,Dog,NV
490,French Bulldog,Dog,NV
491,Dachshund,Dog,NV
492,Chihuahua,Dog,NV
493,Dachshund,Dog,NV
494,Boxer,Dog,NV
495,Shar-Pei,Dog,NV
496,Chihuahua,Dog,NV
497,Chihuahua,Dog,NV
498,Maltese,Dog,NV
499,Pit Bull Terrier,Dog,NV
500,English Springer Spaniel,Dog,NV
501,Hound,Dog,AZ
502,Labrador Retriever,Dog,AZ
503,Pit Bull Terrier,Dog,AZ
504,Beagle,Dog,NV
505,Standard Poodle,Dog,NV
506,Chihuahua,Dog,NV
507,Shepherd,Dog,AZ
508,Yorkshire Terrier,Dog,NV
509,Chihuahua,Dog,NV
510,Terrier,Dog,NV
511,Labrador Retriever,Dog,AZ
512,Black Labrador Retriever,Dog,AZ
513,American Bulldog,Dog,NV
514,Pit Bull Terrier,Dog,NV
515,Cattle Dog,Dog,NV
516,German Shepherd Dog,Dog,AZ
517,Chihuahua,Dog,NV
518,Chihuahua,Dog,NV
519,Chihuahua,Dog,NV
520,Chihuahua,Dog,NV
521,Chihuahua,Dog,NV
522,Labrador Retriever,Dog,NV
523,Labrador Retriever,Dog,NV
524,Shepherd,Dog,NV
525,Pit Bull Terrier,Dog,NV
526,German Shepherd Dog,Dog,NV
527,Labrador Retriever,Dog,AZ
528,American Bulldog,Dog,AZ
529,Chihuahua,Dog,NV
530,German Shepherd Dog,Dog,NV
531,Dachshund,Dog,NV
532,Dachshund,Dog,NV
533,Pug,Dog,NV
534,Labrador Retriever,Dog,NV
535,Collie,Dog,AZ
536,Shepherd,Dog,NV
537,Chihuahua,Dog,NV
538,Beagle,Dog,NV
539,Shar-Pei,Dog,NV
540,Chihuahua,Dog,NV
541,Akita,Dog,AZ
542,Chihuahua,Dog,NV
543,Labrador Retriever,Dog,NV
544,Labrador Retriever,Dog,NV
545,Mastiff,Dog,NV
546,Pit Bull Terrier,Dog,NV
547,Dachshund,Dog,NV
548,Italian Greyhound,Dog,NV
549,Chihuahua,Dog,NV
550,Chihuahua,Dog,NV
551,Italian Greyhound,Dog,NV
552,Border Collie,Dog,NV
553,Beagle,Dog,NV
554,Mastiff,Dog,NV
555,Chihuahua,Dog,NV
556,Chihuahua,Dog,NV
557,Xoloitzcuintli / Mexican Hairless,Dog,NV
558,Belgian Shepherd / Malinois,Dog,NV
559,Labrador Retriever,Dog,NV
560,Terrier,Dog,NV
561,Pit Bull Terrier,Dog,NV
562,Chihuahua,Dog,NV
563,Yorkshire Terrier,Dog,NV
564,Shih Tzu,Dog,NV
565,Labrador Retriever,Dog,NV
566,Dachshund,Dog,NV
567,American Staffordshire Terrier,Dog,NV
568,Chihuahua,Dog,NV
569,Hound,Dog,AZ
570,Hound,Dog,AZ
571,Labrador Retriever,Dog,NV
572,Staffordshire Bull Terrier,Dog,NV
573,Labrador Retriever,Dog,NV
574,Labrador Retriever,Dog,NV
575,Chihuahua,Dog,NV
576,Pit Bull Terrier,Dog,NV
577,Chow Chow,Dog,NV
578,Chow Chow,Dog,NV
579,Labrador Retriever,Dog,NV
580,Pit Bull Terrier,Dog,NV
581,Chihuahua,Dog,NV
582,Terrier,Dog,NV
583,Chihuahua,Dog,NV
584,Pit Bull Terrier,Dog,NV
585,Cattle Dog,Dog,NV
586,American Bulldog,Dog,NV
587,American Bulldog,Dog,NV
588,American Bulldog,Dog,NV
589,Pointer,Dog,NV
590,Pointer,Dog,NV
591,Pit Bull Terrier,Dog,NV
592,Pit Bull Terrier,Dog,NV
593,Pit Bull Terrier,Dog,NV
594,Dogo Argentino,Dog,NV
595,Labrador Retriever,Dog,NV
596,Chihuahua,Dog,NV
597,Labrador Retriever,Dog,NV
598,Labrador Retriever,Dog,NV
599,Labrador Retriever,Dog,NV
600,Pit Bull Terrier,Dog,NV
601,Labrador Retriever,Dog,AZ
602,Labrador Retriever,Dog,NV
603,Pit Bull Terrier,Dog,NV
604,Pit Bull Terrier,Dog,NV
605,Yorkshire Terrier,Dog,NV
606,Boxer,Dog,NV
607,Hound,Dog,AZ
608,Chihuahua,Dog,NV
609,Pit Bull Terrier,Dog,NV
610,Mastiff,Dog,NV
611,Pit Bull Terrier,Dog,NV
612,Pit Bull Terrier,Dog,NV
613,Pomeranian,Dog,NV
614,Pit Bull Terrier,Dog,NV
615,Belgian Shepherd / Malinois,Dog,NV
616,Pit Bull Terrier,Dog,NV
617,Schnauzer,Dog,NV
618,Chihuahua,Dog,AZ
619,Chihuahua,Dog,NV
620,Maltese,Dog,NV
621,Chihuahua,Dog,NV
622,Rottweiler,Dog,NV
623,American Staffordshire Terrier,Dog,NV
624,Terrier,Dog,NV
625,American Staffordshire Terrier,Dog,NV
626,Basenji,Dog,NV
627,Basset Hound,Dog,NV
628,Pit Bull Terrier,Dog,NV
629,Parson Russell Terrier,Dog,NV
630,Pit Bull Terrier,Dog,NV
631,Mixed Breed,Dog,NV
632,Chihuahua,Dog,NV
633,Jindo,Dog,AZ
634,Pit Bull Terrier,Dog,NV
635,Pit Bull Terrier,Dog,NV
636,Chihuahua,Dog,NV
637,Labrador Retriever,Dog,AZ
638,German Shepherd Dog,Dog,NV
639,American Bulldog,Dog,NV
640,Pomeranian,Dog,NV
641,Chihuahua,Dog,NV
642,Dachshund,Dog,NV
643,German Shepherd Dog,Dog,NV
644,German Shepherd Dog,Dog,89146
645,Mixed Breed,Dog,NV
646,Pit Bull Terrier,Dog,NV
647,Labrador Retriever,Dog,NV
648,Miniature Pinscher,Dog,NV
649,Husky,Dog,NV
650,Pit Bull Terrier,Dog,NV
651,American Staffordshire Terrier,Dog,AZ
652,Shar-Pei,Dog,AZ
653,Mixed Breed,Dog,AZ
654,Mixed Breed,Dog,AZ
655,Rottweiler,Dog,AZ
656,Rottweiler,Dog,AZ
657,Shar-Pei,Dog,AZ
658,Border Collie,Dog,NV
659,Labrador Retriever,Dog,NV
660,Shepherd,Dog,NV
661,Australian Shepherd,Dog,NV
662,American Staffordshire Terrier,Dog,NV
663,Labrador Retriever,Dog,NV
664,Dachshund,Dog,NV
665,American Staffordshire Terrier,Dog,NV
666,Chihuahua,Dog,NV
667,Pit Bull Terrier,Dog,NV
668,American Staffordshire Terrier,Dog,NV
669,American Staffordshire Terrier,Dog,NV
670,Chihuahua,Dog,NV
671,Border Collie,Dog,NV
672,Australian Cattle Dog / Blue Heeler,Dog,AZ
673,American Staffordshire Terrier,Dog,NV
674,Staffordshire Bull Terrier,Dog,NV
675,Siberian Husky,Dog,NV
676,Siberian Husky,Dog,NV
677,Siberian Husky,Dog,NV
678,Siberian Husky,Dog,NV
679,Siberian Husky,Dog,NV
680,Siberian Husky,Dog,NV
681,Shepherd,Dog,NV
682,Pit Bull Terrier,Dog,NV
683,Pit Bull Terrier,Dog,NV
684,American Bulldog,Dog,NV
685,Pit Bull Terrier,Dog,NV
686,Pit Bull Terrier,Dog,NV
687,Shepherd,Dog,NV
688,Pit Bull Terrier,Dog,NV
689,Pit Bull Terrier,Dog,NV
690,Pit Bull Terrier,Dog,NV
691,Pit Bull Terrier,Dog,NV
692,Shepherd,Dog,NV
693,Shiba Inu,Dog,NV
694,Staffordshire Bull Terrier,Dog,NV
695,Spaniel,Dog,NV
696,Pit Bull Terrier,Dog,NV
697,Labrador Retriever,Dog,NV
698,Pit Bull Terrier,Dog,NV
699,Weimaraner,Dog,NV
700,Chihuahua,Dog,NV
701,Border Collie,Dog,AZ
702,Pomeranian,Dog,NV
703,American Bulldog,Dog,NV
704,Corgi,Dog,NV
705,Boxer,Dog,NV
706,Pit Bull Terrier,Dog,NV
707,Chihuahua,Dog,NV
708,Labrador Retriever,Dog,NV
709,Pit Bull Terrier,Dog,NV
710,Staffordshire Bull Terrier,Dog,NV
711,Pit Bull Terrier,Dog,NV
712,Pit Bull Terrier,Dog,NV
713,Chihuahua,Dog,NV
714,Spaniel,Dog,NV
715,Pit Bull Terrier,Dog,NV
716,Wirehaired Terrier,Dog,NV
717,Pit Bull Terrier,Dog,NV
718,Pit Bull Terrier,Dog,NV
719,Australian Cattle Dog / Blue Heeler,Dog,NV
720,Shepherd,Dog,NV
721,Spaniel,Dog,NV
722,Pit Bull Terrier,Dog,NV
723,Chihuahua,Dog,NV
724,Pit Bull Terrier,Dog,NV
725,Shepherd,Dog,NV
726,Siberian Husky,Dog,NV
727,Coonhound,Dog,NV
728,Mastiff,Dog,NV
729,Pit Bull Terrier,Dog,NV
730,Pit Bull Terrier,Dog,NV
731,Pit Bull Terrier,Dog,NV
732,Pit Bull Terrier,Dog,NV
733,Pit Bull Terrier,Dog,NV
734,Border Collie,Dog,NV
735,Boston Terrier,Dog,NV
736,Border Collie,Dog,NV
737,Border Collie,Dog,NV
738,Otterhound,Dog,NV
739,Rat Terrier,Dog,NV
740,Border Collie,Dog,NV
741,Shepherd,Dog,NV
742,Pit Bull Terrier,Dog,NV
743,German Shepherd Dog,Dog,NV
744,German Shepherd Dog,Dog,NV
745,Boxer,Dog,NV
746,Shepherd,Dog,NV
747,Pit Bull Terrier,Dog,NV
748,Pit Bull Terrier,Dog,UT
749,American Bulldog,Dog,UT
750,Terrier,Dog,UT
751,German Shepherd Dog,Dog,UT
752,Shepherd,Dog,UT
753,Chihuahua,Dog,UT
754,Pit Bull Terrier,Dog,UT
755,Labrador Retriever,Dog,UT
756,Labrador Retriever,Dog,UT
757,Labrador Retriever,Dog,UT
758,Labrador Retriever,Dog,UT
759,Labrador Retriever,Dog,UT
760,Labrador Retriever,Dog,UT
761,Labrador Retriever,Dog,UT
762,Labrador Retriever,Dog,UT
763,Border Collie,Dog,UT
764,Australian Shepherd,Dog,UT
765,Chihuahua,Dog,UT
766,Border Collie,Dog,UT
767,Retriever,Dog,UT
768,Basenji,Dog,UT
769,Cattle Dog,Dog,UT
770,Cattle Dog,Dog,UT
771,Border Collie,Dog,UT
772,Labrador Retriever,Dog,UT
773,Border Collie,Dog,UT
774,Bloodhound,Dog,UT
775,Cattle Dog,Dog,UT
776,Cattle Dog,Dog,UT
777,Cattle Dog,Dog,UT
778,Labrador Retriever,Dog,UT
779,Border Collie,Dog,UT
780,Cattle Dog,Dog,UT
781,Cattle Dog,Dog,UT
782,Beagle,Dog,UT
783,Shepherd,Dog,UT
784,Terrier,Dog,UT
785,Maltese,Dog,UT
786,Weimaraner,Dog,UT
787,Yorkshire Terrier,Dog,UT
788,Bullmastiff,Dog,UT
789,Coonhound,Dog,UT
790,Cattle Dog,Dog,UT
791,Terrier,Dog,UT
792,Border Collie,Dog,UT
793,Boxer,Dog,UT
794,Cattle Dog,Dog,UT
795,Cattle Dog,Dog,UT
796,Border Collie,Dog,UT
797,Border Collie,Dog,UT
798,Border Collie,Dog,UT
799,Labrador Retriever,Dog,UT
800,Cattle Dog,Dog,UT
801,Shih Tzu,Dog,UT
802,Labrador Retriever,Dog,UT
803,Labrador Retriever,Dog,UT
804,Terrier,Dog,UT
805,Australian Cattle Dog / Blue Heeler,Dog,UT
