Rank,City ,Median Household Income,"Vet Care, Pet Insurance & Boarding_1",Day Care_1,"Vet Care, Pet Insurance & Boarding",Day Care
29,Charlotte ^North Carolina^,"$71,041 ","$1,602 ","$2,688 ",2.25%,3.78%
30,Phoenix ^Arizona^,"$75,731 ","$1,620 ","$3,264 ",2.14%,4.31%
31,Mesa ^Arizona^,"$75,731 ","$1,619 ","$3,264 ",2.14%,4.31%
32,Louisville ^Kentucky^,"$64,029 ","$1,362 ","$2,784 ",2.13%,4.35%
33,Chicago ^Illinois^,"$78,166 ","$1,649 ","$3,456 ",2.11%,4.42%
34,Norfolk ^Virginia^,"$72,686 ","$1,557 ","$2,784 ",2.14%,3.83%
35,Oklahoma City ^Oklahoma^,"$61,815 ","$1,292 ","$2,688 ",2.09%,4.35%
36,Long Beach ^California^,"$82,503 ","$1,728 ","$3,456 ",2.09%,4.19%
37,Richmond ^Virginia^,"$74,151 ","$1,561 ","$2,880 ",2.11%,3.88%
38,Stockton ^California^,"$80,681 ","$1,652 ","$3,648 ",2.05%,4.52%
39,Virginia Beach ^Virginia^,"$72,686 ","$1,529 ","$2,784 ",2.10%,3.83%
40,Riverside ^California^,"$77,018 ","$1,608 ","$3,072 ",2.09%,3.99%
41,St. Louis  ^Missouri^,"$70,189 ","$1,453 ","$2,688 ",2.07%,3.83%
42,Nashville ^Tennessee^,"$72,725 ","$1,474 ","$2,976 ",2.03%,4.09%
43,Portland ^Oregon^,"$83,943 ","$1,733 ","$3,072 ",2.06%,3.66%
44,Philadelphia ^Pennsylvania^,"$80,007 ","$1,610 ","$3,264 ",2.01%,4.08%
45,Colorado Springs ^Colorado^,"$79,014 ","$1,631 ","$2,784 ",2.06%,3.52%
46,Houston ^Texas^,"$70,893 ","$1,418 ","$2,976 ",2.00%,4.20%
47,Indianapolis ^Indiana^,"$70,224 ","$1,405 ","$2,784 ",2.00%,3.96%
48,Atlanta ^Georgia^,"$77,589 ","$1,531 ","$3,264 ",1.97%,4.21%
49,Jacksonville ^Florida^,"$68,394 ","$1,341 ","$2,880 ",1.96%,4.21%
50,Madison ^Wisconsin^,"$76,731 ","$1,544 ","$2,688 ",2.01%,3.50%
51,San Antonio ^Texas^,"$66,775 ","$1,327 ","$2,592 ",1.99%,3.88%
52,Columbus ^Ohio^,"$71,839 ","$1,418 ","$2,784 ",1.97%,3.88%
53,Reno ^Nevada^,"$76,182 ","$1,466 ","$3,168 ",1.92%,4.16%
54,Sacramento ^California^,"$84,421 ","$1,634 ","$2,880 ",1.94%,3.41%
55,Fort Worth ^Texas^,"$75,975 ","$1,430 ","$3,168 ",1.88%,4.17%
56,Garland ^Texas^,"$75,975 ","$1,412 ","$3,168 ",1.86%,4.17%
57,Cincinnati ^Ohio^,"$70,818 ","$1,341 ","$2,688 ",1.89%,3.80%
58,Aurora ^Colorado^,"$90,716 ","$1,744 ","$3,072 ",1.92%,3.39%
59,Raleigh ^North Carolina^,"$85,303 ","$1,621 ","$2,880 ",1.90%,3.38%
60,San Diego ^California^,"$91,003 ","$1,723 ","$3,072 ",1.89%,3.38%
61,Dallas ^Texas^,"$75,975 ","$1,388 ","$3,168 ",1.83%,4.17%
62,Irving ^Texas^,"$75,975 ","$1,386 ","$3,168 ",1.82%,4.17%
63,Minneapolis ^Minnesota^,"$87,433 ","$1,599 ","$3,360 ",1.83%,3.84%
64,Denver ^Colorado^,"$90,716 ","$1,679 ","$3,072 ",1.85%,3.39%
65,Arlington ^Texas^,"$75,975 ","$1,366 ","$3,168 ",1.80%,4.17%
66,Chula Vista ^California^,"$91,003 ","$1,674 ","$3,072 ",1.84%,3.38%
67,Baltimore ^Maryland^,"$86,302 ","$1,586 ","$2,976 ",1.84%,3.45%
68,Kansas City ^Missouri^,"$73,900 ","$1,329 ","$2,688 ",1.80%,3.64%
69,St. Paul ^Minnesota^,"$87,433 ","$1,531 ","$3,360 ",1.75%,3.84%
70,San Francisco ^California^,"$116,005 ","$2,053 ","$3,744 ",1.77%,3.23%
71,Boston ^Massachusetts^,"$100,750 ","$1,759 ","$3,744 ",1.75%,3.72%
72,Boise ^Idaho^,"$86,302 ","$1,526 ","$2,688 ",1.77%,3.11%
73,Seattle ^Washington^,"$101,721 ","$1,757 ","$3,744 ",1.73%,3.68%
74,Austin ^Texas^,"$86,530 ","$1,481 ","$3,072 ",1.71%,3.55%
75,Omaha ^Nebraska^,"$73,720 ","$1,261 ","$2,784 ",1.71%,3.78%
76,Huntsville ^Alabama^,"$76,963 ","$1,302 ","$2,688 ",1.69%,3.49%
77,"Washington, D.C.","$110,355 ","$1,840 ","$3,264 ",1.67%,2.96%
78,San Jose ^California^,"$139,892 ","$1,820 ","$3,648 ",1.30%,2.61%
